timestamp,open,high,low,close,Shares Traded ,Turnover (₹ Cr),source_file
31-Dec-15,,,,6403.9439,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
30-Dec-15,,,,6417.7439,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
29-Dec-15,,,,6438.4307,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
28-Dec-15,,,,6403.0939,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
24-Dec-15,,,,6350.28,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
23-Dec-15,,,,6350.8869,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
22-Dec-15,,,,6312.6047,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
21-Dec-15,,,,6326.7218,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
18-Dec-15,,,,6290.819,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
17-Dec-15,,,,6309.2483,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
16-Dec-15,,,,6231.4224,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
15-Dec-15,,,,6204.6744,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
14-Dec-15,,,,6145.4296,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
11-Dec-15,,,,6128.2073,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
10-Dec-15,,,,6179.5153,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
09-Dec-15,,,,6116.9958,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
08-Dec-15,,,,6256.0372,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
07-Dec-15,,,,6302.7382,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
04-Dec-15,,,,6299.6943,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
03-Dec-15,,,,6360.4593,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
02-Dec-15,,,,6404.1458,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
01-Dec-15,,,,6386.6258,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
30-Nov-15,,,,6348.9034,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
27-Nov-15,,,,6354.6733,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
26-Nov-15,,,,6317.2843,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
24-Nov-15,,,,6389.4492,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
23-Nov-15,,,,6412.9168,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
20-Nov-15,,,,6376.7077,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
19-Nov-15,,,,6313.0956,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
18-Nov-15,,,,6233.6638,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
17-Nov-15,,,,6272.5441,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
16-Nov-15,,,,6239.1523,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
13-Nov-15,,,,6229.287,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
11-Nov-15,,,,6329.174,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
10-Nov-15,,,,6278.1059,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
09-Nov-15,,,,6392.6389,,,NIFTY200 MOMENTUM 30-01-01-2015-to-31-12-2015.csv
